[2026-01-12 01:43:17] ============================================================
[2026-01-12 01:43:17] 🚀 DUELING DOUBLE DQN + DUAL HEAD TRAINING
[2026-01-12 01:43:17]    Device: cuda
[2026-01-12 01:43:17]    Action Size: 8, Duration Size: 6
[2026-01-12 01:43:17]    Loss: action_loss + 0.2 * duration_loss
[2026-01-12 01:43:17]    Layer: 3, MaxSize: 2048, LR: 0.001
[2026-01-12 01:43:17]    Log File: DDDQN_DualHead_log_lr_0_001_L3_S2048.txt
[2026-01-12 01:43:17] ============================================================
[2026-01-12 01:43:19] 
📊 Training started at 01:43:19
[2026-01-12 01:43:19] ------------------------------------------------------------
[2026-01-12 01:46:11] [Ep  4400] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -156.5 | A_Loss: 28.751 | D_Loss: 28.746 | Speed: 24.7 ep/s | Avg Speed:  66.73 km/h | Time: 01:46:11
[2026-01-12 01:46:15] [Ep  4500] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -156.0 | A_Loss: 28.654 | D_Loss: 28.669 | Speed: 24.5 ep/s | Avg Speed:  66.81 km/h | Time: 01:46:15
[2026-01-12 01:46:19] [Ep  4600] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -157.4 | A_Loss: 28.812 | D_Loss: 28.808 | Speed: 24.9 ep/s | Avg Speed:  66.14 km/h | Time: 01:46:19
[2026-01-12 01:46:23] [Ep  4700] Goal:   0 | Seg: 0 | ε: 0.100 | Reward:   -157.5 | A_Loss: 28.728 | D_Loss: 28.753 | Speed: 24.5 ep/s | Avg Speed:  66.92 km/h | Time: 01:46:23
[2026-01-12 01:46:27] [Ep  4800] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -151.2 | A_Loss: 29.492 | D_Loss: 29.513 | Speed: 23.9 ep/s | Avg Speed:  68.56 km/h | Time: 01:46:27
[2026-01-12 01:46:31] [Ep  4900] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -157.2 | A_Loss: 28.853 | D_Loss: 28.863 | Speed: 24.5 ep/s | Avg Speed:  66.25 km/h | Time: 01:46:31
[2026-01-12 01:46:36] [Ep  5000] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -156.5 | A_Loss: 29.198 | D_Loss: 29.228 | Speed: 24.4 ep/s | Avg Speed:  66.58 km/h | Time: 01:46:36
[2026-01-12 01:46:40] [Ep  5100] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -159.3 | A_Loss: 29.441 | D_Loss: 29.456 | Speed: 24.6 ep/s | Avg Speed:  66.13 km/h | Time: 01:46:40
[2026-01-12 01:46:44] [Ep  5200] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -155.5 | A_Loss: 28.974 | D_Loss: 28.995 | Speed: 24.4 ep/s | Avg Speed:  67.64 km/h | Time: 01:46:44
[2026-01-12 01:46:48] [Ep  5300] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -154.5 | A_Loss: 28.979 | D_Loss: 29.021 | Speed: 24.1 ep/s | Avg Speed:  66.83 km/h | Time: 01:46:48
[2026-01-12 01:46:52] [Ep  5400] Goal:   0 | Seg: 1 | ε: 0.100 | Reward:   -156.6 | A_Loss: 29.134 | D_Loss: 29.191 | Speed: 24.6 ep/s | Avg Speed:  67.27 km/h | Time: 01:46:52
